userid,version,sum_gamerounds,retention_1,retention_7,treatment,engagement_segment
8464,gate_30,10,0,0,0,medium
8465,gate_40,4,0,0,1,low
8494,gate_30,5,1,0,0,medium
8644,gate_30,2,0,0,0,low
8679,gate_30,0,0,0,0,non_player
8692,gate_30,3,1,0,0,low
8753,gate_40,10,1,0,1,medium
8788,gate_30,19,0,1,0,medium
8801,gate_40,0,0,0,1,non_player
8885,gate_40,5,0,0,1,medium
9001,gate_40,16,1,0,1,medium
9308,gate_40,95,1,0,1,high
9443,gate_40,3,0,0,1,low
9589,gate_30,8,0,0,0,medium
9699,gate_40,8,0,0,1,medium
9828,gate_40,1,0,0,1,low
9831,gate_40,3,0,0,1,low
9849,gate_40,1,0,0,1,low
10112,gate_30,6,0,0,0,medium
10200,gate_40,106,0,1,1,high
10218,gate_30,22,1,0,0,medium
10276,gate_40,1,0,0,1,low
10336,gate_30,11,0,0,0,medium
10476,gate_40,4,0,0,1,low
10533,gate_40,21,0,0,1,medium
10598,gate_40,8,0,0,1,medium
10636,gate_30,246,1,1,0,high
10637,gate_40,0,0,0,1,non_player
10676,gate_40,6,0,0,1,medium
10756,gate_30,16,0,0,0,medium
10884,gate_40,49,1,0,1,high
11093,gate_40,54,1,1,1,high
11127,gate_30,66,1,1,0,high
11297,gate_30,0,0,0,0,non_player
11411,gate_30,122,1,1,0,high
11420,gate_30,75,1,0,0,high
11599,gate_30,3,0,0,0,low
11675,gate_40,17,0,0,1,medium
11747,gate_30,1,1,0,0,low
11840,gate_30,24,0,0,0,medium
11886,gate_30,3,0,0,0,low
12053,gate_30,11,1,0,0,medium
12067,gate_40,7,0,0,1,medium
12163,gate_30,47,1,0,0,high
12393,gate_40,1,0,0,1,low
12461,gate_40,4,0,0,1,low
12523,gate_30,31,1,0,0,high
12558,gate_30,13,0,0,0,medium
12574,gate_30,22,1,0,0,medium
12749,gate_30,6,1,0,0,medium
12905,gate_40,1,0,0,1,low
12951,gate_40,2,0,0,1,low
12967,gate_30,24,1,0,0,medium
12979,gate_30,6,0,0,0,medium
13133,gate_40,6,0,0,1,medium
13216,gate_30,24,1,0,0,medium
13228,gate_40,9,0,0,1,medium
13320,gate_40,34,0,0,1,high
13321,gate_40,56,0,0,1,high
13376,gate_40,12,1,0,1,medium
13429,gate_30,60,0,1,0,high
13494,gate_40,10,1,0,1,medium
13633,gate_30,67,0,0,0,high
13664,gate_30,42,1,1,0,high
13721,gate_40,65,1,0,1,high
13758,gate_30,1,0,0,0,low
13806,gate_30,4,0,0,0,low
13856,gate_30,3,0,0,0,low
13872,gate_30,1,0,0,0,low
13893,gate_40,14,0,0,1,medium
13969,gate_40,42,0,0,1,high
14143,gate_30,13,0,0,0,medium
14218,gate_30,129,0,1,0,high
14290,gate_40,6,1,0,1,medium
14296,gate_30,37,0,0,0,high
14381,gate_40,9,0,0,1,medium
14592,gate_30,1,0,0,0,low
14644,gate_40,2,0,0,1,low
14834,gate_30,27,0,0,0,medium
15157,gate_40,38,0,0,1,high
15173,gate_30,8,0,0,0,medium
15294,gate_30,51,1,1,0,high
15489,gate_30,5,0,0,0,medium
15597,gate_40,2,0,0,1,low
15962,gate_30,0,0,0,0,non_player
15970,gate_40,16,1,0,1,medium
16096,gate_40,0,0,0,1,non_player
16145,gate_40,7,0,0,1,medium
16180,gate_30,5,0,0,0,medium
16224,gate_40,0,0,0,1,non_player
16454,gate_40,11,0,0,1,medium
16504,gate_40,0,0,0,1,non_player
16506,gate_30,4,1,0,0,low
16638,gate_40,51,1,0,1,high
16696,gate_40,5,0,0,1,medium
17085,gate_40,33,0,0,1,high
17167,gate_30,21,0,0,0,medium
17270,gate_30,49,1,0,0,high
17422,gate_40,2,0,0,1,low
17461,gate_30,1,0,0,0,low
17477,gate_30,46,1,1,0,high
17506,gate_40,127,1,1,1,high
17554,gate_30,1,0,0,0,low
17814,gate_30,14,0,0,0,medium
17903,gate_40,17,0,0,1,medium
17947,gate_30,104,1,1,0,high
17995,gate_30,6,0,0,0,medium
18013,gate_40,21,1,0,1,medium
18213,gate_40,36,1,0,1,high
18235,gate_30,8,0,0,0,medium
18374,gate_40,53,1,0,1,high
18731,gate_30,1,0,0,0,low
18756,gate_30,38,1,1,0,high
18778,gate_30,13,0,0,0,medium
18827,gate_30,20,1,0,0,medium
18849,gate_40,74,1,1,1,high
18993,gate_40,25,1,0,1,medium
19077,gate_30,11,0,0,0,medium
19091,gate_40,1,0,0,1,low
19474,gate_40,2,0,0,1,low
19490,gate_30,72,1,0,0,high
19529,gate_40,22,0,0,1,medium
19537,gate_40,2,0,0,1,low
19593,gate_40,18,0,0,1,medium
19673,gate_40,4,0,0,1,low
19721,gate_40,18,0,0,1,medium
19728,gate_40,79,1,1,1,high
19746,gate_30,65,0,1,0,high
19896,gate_40,13,1,0,1,medium
19993,gate_30,5,1,0,0,medium
20005,gate_30,4,0,0,0,low
20052,gate_30,8,0,0,0,medium
20136,gate_30,0,0,0,0,non_player
20358,gate_40,19,0,1,1,medium
20365,gate_40,6,0,0,1,medium
20465,gate_30,108,1,0,0,high
20489,gate_40,2,0,0,1,low
20587,gate_40,26,0,0,1,medium
20591,gate_40,2,1,0,1,low
20721,gate_40,99,0,1,1,high
20763,gate_30,10,0,0,0,medium
20790,gate_40,5,1,0,1,medium
20832,gate_30,13,1,0,0,medium
20940,gate_40,1,0,0,1,low
21072,gate_40,16,0,0,1,medium
21130,gate_40,1,0,0,1,low
21137,gate_40,91,1,0,1,high
21228,gate_40,149,1,1,1,high
21408,gate_30,20,1,0,0,medium
21442,gate_40,68,1,0,1,high
21755,gate_40,12,0,1,1,medium
22069,gate_40,7,0,0,1,medium
22082,gate_40,3,0,0,1,low
22167,gate_40,277,1,1,1,high
22299,gate_40,493,1,1,1,high
22398,gate_30,4,0,0,0,low
22486,gate_40,3,0,0,1,low
22676,gate_40,8,0,0,1,medium
22919,gate_40,1,0,0,1,low
22935,gate_30,274,1,1,0,high
22972,gate_30,17,0,0,0,medium
23023,gate_40,32,0,1,1,high
23026,gate_40,1,0,0,1,low
23084,gate_40,85,1,1,1,high
23094,gate_40,12,0,0,1,medium
23126,gate_40,1,0,0,1,low
23270,gate_30,8,0,0,0,medium
23333,gate_30,9,0,0,0,medium
23374,gate_30,8,1,0,0,medium
23525,gate_40,191,1,1,1,high
23702,gate_40,115,1,0,1,high
23748,gate_40,45,1,0,1,high
24036,gate_40,15,0,0,1,medium
24222,gate_30,134,1,1,0,high
24302,gate_40,19,1,0,1,medium
24328,gate_30,2,0,0,0,low
24382,gate_30,22,1,0,0,medium
24397,gate_30,6,0,0,0,medium
24981,gate_40,18,0,0,1,medium
25047,gate_30,0,0,0,0,non_player
25281,gate_30,0,0,0,0,non_player
25293,gate_40,12,0,0,1,medium
25332,gate_30,152,1,1,0,high
25466,gate_40,2,0,0,1,low
25903,gate_30,8,1,0,0,medium
25941,gate_40,73,1,0,1,high
25958,gate_30,0,0,0,0,non_player
26083,gate_30,100,1,1,0,high
26243,gate_40,250,1,1,1,high
26253,gate_30,10,0,0,0,medium
26466,gate_40,13,1,0,1,medium
26502,gate_30,147,1,1,0,high
26586,gate_30,391,1,0,0,high
27135,gate_30,18,0,0,0,medium
27163,gate_40,23,0,0,1,medium
27605,gate_30,19,1,0,0,medium
27693,gate_30,4,0,0,0,low
27754,gate_30,14,0,0,0,medium
27759,gate_30,61,1,1,0,high
27849,gate_40,61,1,0,1,high
27851,gate_40,75,1,0,1,high
27979,gate_30,75,0,0,0,high
28025,gate_30,57,1,0,0,high
28091,gate_30,35,1,0,0,high
28123,gate_30,9,0,0,0,medium
28332,gate_30,13,0,0,0,medium
28405,gate_30,1,0,0,0,low
28433,gate_30,20,0,0,0,medium
28497,gate_40,77,1,1,1,high
29185,gate_40,3,0,0,1,low
29311,gate_40,7,0,0,1,medium
29317,gate_40,6,0,0,1,medium
29455,gate_30,51,1,1,0,high
29522,gate_40,197,0,1,1,high
29658,gate_30,2,0,0,0,low
29677,gate_40,22,0,0,1,medium
29753,gate_40,69,1,0,1,high
29861,gate_40,4,0,0,1,low
29999,gate_30,260,1,1,0,high
30039,gate_40,20,0,0,1,medium
30059,gate_30,4,0,0,0,low
30274,gate_30,7,1,0,0,medium
30277,gate_30,0,0,0,0,non_player
30343,gate_30,8,1,1,0,medium
30348,gate_30,48,1,1,0,high
30594,gate_40,15,1,0,1,medium
30631,gate_30,61,0,1,0,high
30868,gate_30,1,0,0,0,low
30928,gate_30,12,1,0,0,medium
31073,gate_30,270,1,1,0,high
31151,gate_30,59,0,0,0,high
31200,gate_30,141,1,0,0,high
31214,gate_30,53,0,1,0,high
31222,gate_40,20,0,0,1,medium
31638,gate_40,16,0,0,1,medium
31691,gate_30,0,0,0,0,non_player
31812,gate_30,37,1,0,0,high
31903,gate_30,467,1,1,0,high
32292,gate_40,25,0,0,1,medium
32403,gate_40,2,1,0,1,low
32569,gate_40,4,0,0,1,low
32595,gate_40,11,1,0,1,medium
32642,gate_30,40,0,0,0,high
32730,gate_30,9,0,0,0,medium
32942,gate_40,11,1,1,1,medium
33097,gate_30,12,0,0,0,medium
33126,gate_30,6,0,0,0,medium
33189,gate_40,9,1,0,1,medium
33274,gate_40,4,0,0,1,low
33316,gate_40,18,1,0,1,medium
33445,gate_30,77,0,1,0,high
33489,gate_30,4,0,0,0,low
33639,gate_40,45,1,0,1,high
33703,gate_40,43,1,0,1,high
33794,gate_30,3,0,0,0,low
33954,gate_40,30,1,0,1,high
33967,gate_30,33,1,1,0,high
34016,gate_40,47,1,0,1,high
34022,gate_40,72,0,1,1,high
34027,gate_40,16,0,0,1,medium
34076,gate_40,2,0,0,1,low
34447,gate_40,93,1,1,1,high
34469,gate_30,222,1,1,0,high
34597,gate_40,334,1,1,1,high
34647,gate_40,8,0,0,1,medium
34706,gate_30,29,1,0,0,medium
34842,gate_40,27,1,0,1,medium
34859,gate_30,16,0,0,0,medium
34906,gate_30,10,1,0,0,medium
34942,gate_40,8,0,0,1,medium
35027,gate_40,58,1,0,1,high
35056,gate_30,84,1,0,0,high
35156,gate_30,1,0,0,0,low
35458,gate_40,56,0,0,1,high
35460,gate_30,43,1,0,0,high
35730,gate_30,50,1,0,0,high
35837,gate_30,23,1,0,0,medium
35886,gate_30,5,0,0,0,medium
35922,gate_30,21,1,0,0,medium
36003,gate_30,48,1,0,0,high
36047,gate_40,85,1,1,1,high
36077,gate_30,13,1,0,0,medium
36279,gate_30,41,1,0,0,high
36280,gate_30,5,0,0,0,medium
36298,gate_40,1,0,0,1,low
36356,gate_30,303,1,1,0,high
36513,gate_40,18,1,0,1,medium
36560,gate_40,48,1,0,1,high
36622,gate_30,4,1,0,0,low
36664,gate_40,51,0,1,1,high
36673,gate_30,5,0,0,0,medium
36761,gate_40,134,1,1,1,high
36887,gate_40,11,1,0,1,medium
36921,gate_30,3,0,0,0,low
36997,gate_40,9,1,0,1,medium
37155,gate_40,3,0,0,1,low
37303,gate_30,177,1,1,0,high
37366,gate_40,11,1,0,1,medium
37461,gate_40,20,0,1,1,medium
37740,gate_30,39,1,1,0,high
37823,gate_30,12,1,0,0,medium
37872,gate_30,12,1,0,0,medium
37994,gate_40,2,0,0,1,low
38151,gate_30,9,1,0,0,medium
38232,gate_30,216,1,1,0,high
38249,gate_40,30,1,0,1,high
38292,gate_30,9,0,0,0,medium
39069,gate_30,227,0,0,0,high
39382,gate_30,0,0,0,0,non_player
39494,gate_30,87,1,0,0,high
39531,gate_30,71,1,0,0,high
39774,gate_40,567,1,1,1,high
39902,gate_40,13,1,0,1,medium
39932,gate_30,55,1,1,0,high
39993,gate_40,14,0,0,1,medium
40233,gate_40,78,1,0,1,high
40292,gate_30,1,0,0,0,low
40359,gate_30,3,0,0,0,low
40378,gate_30,552,1,1,0,high
40427,gate_30,96,1,0,0,high
40566,gate_30,2,0,0,0,low
40593,gate_30,12,1,1,0,medium
40630,gate_40,99,1,0,1,high
40653,gate_30,107,1,0,0,high
40687,gate_30,12,0,0,0,medium
40749,gate_40,2,0,0,1,low
40812,gate_40,2,0,0,1,low
41112,gate_30,4,0,0,0,low
41192,gate_30,28,0,0,0,medium
41378,gate_40,9,0,0,1,medium
41795,gate_30,136,1,1,0,high
41842,gate_40,15,0,0,1,medium
41934,gate_40,8,0,0,1,medium
41988,gate_40,1,0,0,1,low
42077,gate_30,12,1,0,0,medium
42316,gate_30,6,0,0,0,medium
42407,gate_30,45,0,1,0,high
42457,gate_30,12,0,0,0,medium
42688,gate_40,13,0,0,1,medium
42703,gate_30,9,1,0,0,medium
42758,gate_40,11,1,0,1,medium
42994,gate_40,113,1,1,1,high
43091,gate_30,6,1,0,0,medium
43368,gate_40,32,0,0,1,high
43644,gate_30,17,1,0,0,medium
43744,gate_30,141,1,0,0,high
43757,gate_30,28,0,0,0,medium
44400,gate_40,95,1,0,1,high
44493,gate_40,339,1,1,1,high
44498,gate_30,24,1,0,0,medium
44591,gate_30,5,0,0,0,medium
44670,gate_30,6,0,0,0,medium
44751,gate_30,10,0,0,0,medium
44780,gate_30,9,0,0,0,medium
44910,gate_40,6,0,0,1,medium
45066,gate_30,85,1,0,0,high
45083,gate_40,54,0,0,1,high
45167,gate_30,19,0,0,0,medium
45694,gate_40,6,1,0,1,medium
45698,gate_30,452,1,1,0,high
45753,gate_30,26,1,0,0,medium
45813,gate_40,12,1,0,1,medium
45895,gate_40,2,1,0,1,low
45896,gate_40,11,1,0,1,medium
45952,gate_40,3,0,0,1,low
46007,gate_30,6,0,0,0,medium
46022,gate_40,7,0,0,1,medium
46347,gate_30,57,0,0,0,high
46472,gate_40,16,0,0,1,medium
46576,gate_30,15,0,0,0,medium
46624,gate_40,148,1,1,1,high
46629,gate_40,57,1,0,1,high
46746,gate_40,3,1,0,1,low
46806,gate_30,163,1,1,0,high
46919,gate_40,47,1,0,1,high
46938,gate_30,54,0,0,0,high
47377,gate_40,2,0,0,1,low
47816,gate_30,220,1,1,0,high
47822,gate_40,63,1,1,1,high
47990,gate_40,25,1,0,1,medium
48016,gate_30,0,0,0,0,non_player
48116,gate_30,1,0,0,0,low
48130,gate_30,2,0,0,0,low
48201,gate_40,84,1,1,1,high
48631,gate_40,60,0,0,1,high
48658,gate_30,216,1,1,0,high
48677,gate_40,17,1,0,1,medium
48942,gate_30,290,1,1,0,high
48990,gate_40,3,0,0,1,low
49147,gate_40,24,1,0,1,medium
49311,gate_40,5,0,0,1,medium
49330,gate_30,18,0,0,0,medium
49373,gate_30,5,0,0,0,medium
49600,gate_30,20,0,0,0,medium
49811,gate_40,9,1,0,1,medium
49995,gate_40,15,1,0,1,medium
50011,gate_40,4,0,0,1,low
50158,gate_40,87,1,1,1,high
50237,gate_40,86,1,0,1,high
50339,gate_40,0,0,0,1,non_player
50386,gate_40,4,0,0,1,low
50547,gate_30,356,0,0,0,high
50665,gate_30,10,1,0,0,medium
50686,gate_40,3,0,1,1,low
50688,gate_30,0,0,0,0,non_player
50794,gate_40,0,0,0,1,non_player
50811,gate_30,3,0,0,0,low
50850,gate_30,34,1,1,0,high
51155,gate_30,34,0,0,0,high
51267,gate_30,0,0,0,0,non_player
51295,gate_30,117,1,1,0,high
51310,gate_30,23,0,1,0,medium
51430,gate_30,34,1,0,0,high
51636,gate_40,8,0,0,1,medium
51641,gate_40,20,1,0,1,medium
51823,gate_40,54,1,1,1,high
51894,gate_30,4,0,0,0,low
51970,gate_40,76,0,1,1,high
52100,gate_40,55,1,0,1,high
52177,gate_40,3,0,0,1,low
52271,gate_40,2,0,0,1,low
52357,gate_30,22,1,0,0,medium
52420,gate_30,15,1,1,0,medium
52636,gate_40,3,0,0,1,low
53149,gate_40,4,0,0,1,low
53373,gate_40,298,1,1,1,high
53393,gate_30,338,1,1,0,high
53450,gate_40,1,0,0,1,low
53464,gate_40,12,0,0,1,medium
53470,gate_40,7,0,0,1,medium
53597,gate_40,5,0,0,1,medium
53638,gate_30,16,0,0,0,medium
53763,gate_30,9,1,0,0,medium
53935,gate_40,4,0,0,1,low
53996,gate_40,115,1,1,1,high
54069,gate_30,170,1,1,0,high
54162,gate_30,174,1,1,0,high
54178,gate_30,21,0,0,0,medium
54244,gate_40,4,0,0,1,low
54256,gate_40,6,0,0,1,medium
54403,gate_30,6,0,0,0,medium
54580,gate_30,22,0,0,0,medium
54617,gate_40,12,0,0,1,medium
54680,gate_40,2,0,0,1,low
54681,gate_40,2,0,0,1,low
54754,gate_30,70,1,0,0,high
54776,gate_30,0,0,0,0,non_player
54975,gate_30,3,0,0,0,low
55139,gate_30,25,0,0,0,medium
55213,gate_40,141,1,1,1,high
55250,gate_40,47,1,1,1,high
55480,gate_30,1,0,0,0,low
55621,gate_30,32,0,0,0,high
56116,gate_40,3,0,0,1,low
56237,gate_40,10,0,0,1,medium
56269,gate_30,2,0,0,0,low
56294,gate_40,2,1,0,1,low
56446,gate_30,15,0,0,0,medium
56496,gate_40,543,1,1,1,high
56522,gate_30,10,0,0,0,medium
56587,gate_40,54,1,0,1,high
56815,gate_30,202,1,1,0,high
56895,gate_40,2,0,0,1,low
56997,gate_40,41,0,0,1,high
57149,gate_30,15,0,0,0,medium
57321,gate_30,54,0,0,0,high
57334,gate_40,5,1,0,1,medium
57339,gate_40,22,1,0,1,medium
57369,gate_40,399,1,1,1,high
57401,gate_30,13,1,0,0,medium
57429,gate_40,29,1,0,1,medium
57516,gate_30,38,1,1,0,high
57833,gate_40,0,0,0,1,non_player
58180,gate_40,19,1,0,1,medium
58189,gate_30,23,0,0,0,medium
58289,gate_30,237,1,1,0,high
58394,gate_40,25,1,0,1,medium
58592,gate_40,85,1,0,1,high
58700,gate_30,0,0,0,0,non_player
58768,gate_30,11,0,0,0,medium
58813,gate_40,1,0,0,1,low
59164,gate_30,7,1,0,0,medium
59395,gate_30,33,1,1,0,high
59531,gate_30,18,0,0,0,medium
60035,gate_40,14,0,0,1,medium
60103,gate_40,18,0,0,1,medium
60160,gate_40,11,1,0,1,medium
60410,gate_40,26,1,0,1,medium
60424,gate_30,6,0,0,0,medium
60619,gate_40,65,1,0,1,high
60929,gate_40,16,1,0,1,medium
60956,gate_40,17,0,0,1,medium
60984,gate_30,139,0,1,0,high
61104,gate_30,0,0,0,0,non_player
61245,gate_30,24,1,0,0,medium
61462,gate_30,23,0,0,0,medium
61563,gate_30,7,0,0,0,medium
61595,gate_40,29,0,0,1,medium
61609,gate_30,4,0,0,0,low
61651,gate_30,3,0,0,0,low
61952,gate_30,19,0,0,0,medium
61979,gate_30,2,0,0,0,low
62084,gate_30,12,0,0,0,medium
62145,gate_40,1,0,0,1,low
62206,gate_30,0,0,0,0,non_player
62434,gate_30,6,0,0,0,medium
62437,gate_40,5,0,0,1,medium
62566,gate_40,67,1,0,1,high
62700,gate_40,36,1,1,1,high
62704,gate_40,2,0,0,1,low
62879,gate_30,1,0,0,0,low
63001,gate_40,33,1,0,1,high
63335,gate_30,9,1,0,0,medium
63370,gate_30,179,1,1,0,high
63473,gate_30,1,0,0,0,low
63478,gate_30,202,1,1,0,high
63480,gate_30,9,1,0,0,medium
63555,gate_40,43,0,0,1,high
63617,gate_30,902,1,1,0,high
63766,gate_30,6,0,0,0,medium
63786,gate_40,22,0,0,1,medium
63832,gate_30,1,0,0,0,low
63889,gate_30,9,1,1,0,medium
63962,gate_30,4,1,0,0,low
64052,gate_30,1,0,0,0,low
64224,gate_40,15,0,1,1,medium
64235,gate_30,1,0,0,0,low
64309,gate_40,125,1,0,1,high
64643,gate_40,24,0,0,1,medium
64646,gate_40,1,0,1,1,low
64792,gate_30,269,1,0,0,high
64849,gate_40,31,1,0,1,high
64930,gate_30,510,1,0,0,high
64944,gate_40,62,0,0,1,high
65032,gate_40,5,0,0,1,medium
65452,gate_30,16,0,0,0,medium
65482,gate_40,10,0,0,1,medium
65511,gate_30,4,0,0,0,low
66120,gate_40,28,0,0,1,medium
66509,gate_30,46,1,0,0,high
66677,gate_40,1,0,0,1,low
66713,gate_40,4,0,0,1,low
66947,gate_40,13,1,0,1,medium
67078,gate_30,9,0,0,0,medium
67122,gate_30,18,0,0,0,medium
67190,gate_40,15,0,0,1,medium
67193,gate_40,1,0,0,1,low
67234,gate_30,3,0,0,0,low
67387,gate_30,12,0,0,0,medium
67654,gate_40,8,0,0,1,medium
67829,gate_40,0,0,0,1,non_player
67910,gate_40,18,1,0,1,medium
67950,gate_30,7,0,0,0,medium
68020,gate_40,52,0,1,1,high
68112,gate_30,0,0,0,0,non_player
68151,gate_40,136,1,0,1,high
68386,gate_30,5,0,0,0,medium
68394,gate_40,474,1,1,1,high
68406,gate_40,5,0,0,1,medium
68485,gate_30,26,1,0,0,medium
68698,gate_40,83,1,0,1,high
68856,gate_30,1,0,0,0,low
68887,gate_40,1,0,0,1,low
68915,gate_40,121,0,0,1,high
68965,gate_40,105,1,1,1,high
69027,gate_40,2,0,0,1,low
69050,gate_30,20,1,0,0,medium
69392,gate_30,46,0,0,0,high
69488,gate_30,5,0,0,0,medium
69649,gate_40,80,1,1,1,high
69870,gate_40,210,1,1,1,high
69917,gate_40,16,1,0,1,medium
69927,gate_30,1906,1,1,0,high
69998,gate_30,16,0,0,0,medium
70074,gate_30,0,0,0,0,non_player
70127,gate_30,1,0,0,0,low
70175,gate_40,35,1,1,1,high
70294,gate_40,199,1,0,1,high
70522,gate_40,6,0,0,1,medium
70570,gate_30,5,0,0,0,medium
70899,gate_40,3,0,0,1,low
71062,gate_30,25,1,0,0,medium
71119,gate_30,118,1,1,0,high
71161,gate_40,68,1,0,1,high
71165,gate_40,105,1,0,1,high
71205,gate_30,5,0,0,0,medium
71235,gate_30,38,1,0,0,high
71326,gate_40,8,0,0,1,medium
71489,gate_30,7,0,0,0,medium
71635,gate_30,4,0,0,0,low
71698,gate_30,6,0,0,0,medium
71777,gate_40,12,0,0,1,medium
72085,gate_40,103,1,0,1,high
72164,gate_30,259,1,1,0,high
72353,gate_40,5,0,0,1,medium
72419,gate_40,12,1,0,1,medium
72470,gate_40,6,1,0,1,medium
72555,gate_30,298,1,1,0,high
72614,gate_40,3,0,0,1,low
72661,gate_40,1,0,0,1,low
72752,gate_40,15,0,0,1,medium
72813,gate_30,6,1,0,0,medium
72872,gate_30,10,0,0,0,medium
72918,gate_40,13,0,0,1,medium
72977,gate_40,12,1,0,1,medium
73378,gate_40,34,1,0,1,high
73412,gate_30,3,0,0,0,low
73868,gate_40,2,0,0,1,low
74231,gate_30,7,0,0,0,medium
74276,gate_30,24,1,1,0,medium
74369,gate_40,7,0,0,1,medium
74377,gate_30,53,1,0,0,high
74422,gate_40,38,0,1,1,high
74568,gate_30,11,1,0,0,medium
75029,gate_40,98,1,0,1,high
75734,gate_40,4,0,0,1,low
76062,gate_30,5,0,0,0,medium
76089,gate_40,3,0,0,1,low
76133,gate_30,50,0,0,0,high
76549,gate_30,149,0,1,0,high
76573,gate_30,20,1,0,0,medium
76598,gate_30,1,0,0,0,low
76662,gate_40,30,1,0,1,high
76767,gate_40,4,0,0,1,low
76784,gate_40,53,1,0,1,high
76895,gate_40,5,0,0,1,medium
76917,gate_30,113,1,0,0,high
76934,gate_40,2,0,0,1,low
77151,gate_40,2,0,0,1,low
77172,gate_30,0,0,0,0,non_player
77195,gate_40,25,1,0,1,medium
77468,gate_30,12,0,0,0,medium
77495,gate_40,59,0,0,1,high
77644,gate_30,15,0,0,0,medium
77731,gate_30,106,1,1,0,high
77812,gate_40,2,0,0,1,low
77821,gate_40,7,0,0,1,medium
77837,gate_40,6,0,0,1,medium
77850,gate_30,59,1,0,0,high
78089,gate_30,47,0,0,0,high
78142,gate_40,1,0,0,1,low
78183,gate_30,34,1,0,0,high
78237,gate_30,4,0,0,0,low
78312,gate_30,12,0,0,0,medium
78409,gate_30,15,1,0,0,medium
78563,gate_40,32,0,0,1,high
78846,gate_30,0,0,0,0,non_player
78900,gate_30,2,0,0,0,low
79646,gate_40,34,1,0,1,high
79890,gate_30,11,0,0,0,medium
79929,gate_40,16,0,0,1,medium
80215,gate_40,2,0,0,1,low
80282,gate_30,128,1,1,0,high
80485,gate_40,9,0,0,1,medium
80496,gate_40,0,0,0,1,non_player
80526,gate_30,34,0,1,0,high
80582,gate_40,7,0,0,1,medium
80618,gate_40,7,0,0,1,medium
80634,gate_40,215,1,1,1,high
80746,gate_30,1,0,0,0,low
80754,gate_40,0,0,0,1,non_player
80860,gate_40,231,1,0,1,high
80884,gate_30,5,0,0,0,medium
80900,gate_40,16,0,0,1,medium
81447,gate_30,34,0,0,0,high
81480,gate_40,2,0,0,1,low
81524,gate_30,34,1,0,0,high
81532,gate_30,2,0,0,0,low
81668,gate_40,12,0,0,1,medium
